0 0.9000  -915.5390 -2403747.6271 719.8499
1 0.9100  -915.5534 -2403785.4447 682.0323
2 0.9201  -915.5670 -2403821.1086 646.3684
3 0.9301  -915.5798 -2403854.7266 612.7504
4 0.9401  -915.5918 -2403886.4010 581.0759
5 0.9501  -915.6032 -2403916.2296 551.2474
6 0.9602  -915.6139 -2403944.3050 523.1720
7 0.9702  -915.6240 -2403970.7154 496.7616
8 0.9802  -915.6334 -2403995.5448 471.9322
9 0.9902  -915.6423 -2404018.8732 448.6038
10 1.0003  -915.6506 -2404040.7771 426.6999
11 1.0103  -915.6585 -2404061.3293 406.1477
12 1.0203  -915.6658 -2404080.6000 386.8770
13 1.0303  -915.6727 -2404098.6558 368.8212
14 1.0404  -915.6791 -2404115.5610 351.9160
15 1.0504  -915.6852 -2404131.3768 336.1002
16 1.0604  -915.6908 -2404146.1621 321.3149
17 1.0704  -915.6960 -2404159.9727 307.5043
18 1.0805  -915.7010 -2404172.8624 294.6146
19 1.0905  -915.7055 -2404184.8823 282.5947
20 1.1005  -915.7098 -2404196.0814 271.3956
21 1.1105  -915.7138 -2404206.5063 260.9707
22 1.1206  -915.7175 -2404216.2020 251.2750
23 1.1306  -915.7209 -2404225.2113 242.2656
24 1.1406  -915.7241 -2404233.5756 233.9014
25 1.1506  -915.7270 -2404241.3343 226.1427
26 1.1607  -915.7298 -2404248.5257 218.9513
27 1.1707  -915.7323 -2404255.1864 212.2906
28 1.1807  -915.7347 -2404261.3516 206.1254
29 1.1907  -915.7368 -2404267.0552 200.4218
30 1.2008  -915.7388 -2404272.3299 195.1471
31 1.2108  -915.7407 -2404277.2068 190.2702
32 1.2208  -915.7424 -2404281.7163 185.7607
33 1.2308  -915.7440 -2404285.8874 181.5896
34 1.2409  -915.7455 -2404289.7454 177.7316
35 1.2509  -915.7468 -2404293.3253 174.1516
36 1.2609  -915.7481 -2404296.6420 170.8350
37 1.2709  -915.7493 -2404299.7260 167.7510
38 1.2810  -915.7504 -2404302.6005 164.8765
39 1.2910  -915.7514 -2404305.2882 162.1888
40 1.3010  -915.7524 -2404307.8367 159.6403
41 1.3110  -915.7533 -2404310.2198 157.2572
42 1.3211  -915.7541 -2404312.4773 154.9997
43 1.3311  -915.7550 -2404314.6292 152.8478
44 1.3411  -915.7557 -2404316.6932 150.7838
45 1.3511  -915.7565 -2404318.6979 148.7791
46 1.3612  -915.7572 -2404320.6328 146.8442
47 1.3712  -915.7580 -2404322.5193 144.9577
48 1.3812  -915.7587 -2404324.3705 143.1065
49 1.3912  -915.7594 -2404326.1956 141.2814
50 1.4013  -915.7600 -2404328.0018 139.4752
51 1.4113  -915.7607 -2404329.7946 137.6823
52 1.4213  -915.7614 -2404331.5783 135.8987
53 1.4313  -915.7621 -2404333.3556 134.1214
54 1.4414  -915.7628 -2404335.1286 132.3484
55 1.4514  -915.7634 -2404336.8980 130.5790
56 1.4614  -915.7641 -2404338.6640 128.8130
57 1.4714  -915.7648 -2404340.4260 127.0510
58 1.4815  -915.7654 -2404342.1830 125.2940
59 1.4915  -915.7661 -2404343.9336 123.5434
60 1.5015  -915.7668 -2404345.6759 121.8011
61 1.5115  -915.7674 -2404347.4082 120.0688
62 1.5216  -915.7681 -2404349.1283 118.3487
