0 0.9000  -1350.2529 -3545088.9103 284.0901
1 0.9100  -1350.2552 -3545095.0207 277.9798
2 0.9201  -1350.2573 -3545100.5567 272.4438
3 0.9301  -1350.2592 -3545105.5857 267.4148
4 0.9401  -1350.2610 -3545110.1701 262.8304
5 0.9501  -1350.2626 -3545114.3725 258.6280
6 0.9602  -1350.2646 -3545119.6849 253.3156
7 0.9702  -1350.2660 -3545123.2992 249.7013
8 0.9802  -1350.2672 -3545126.6605 246.3400
9 0.9902  -1350.2684 -3545129.8141 243.1864
10 1.0003  -1350.2696 -3545132.8000 240.2005
11 1.0103  -1350.2707 -3545135.6536 237.3469
12 1.0203  -1350.2717 -3545138.4080 234.5924
13 1.0303  -1350.2727 -3545141.0901 231.9104
14 1.0404  -1350.2737 -3545143.7254 229.2751
15 1.0504  -1350.2747 -3545146.3350 226.6655
16 1.0604  -1350.2757 -3545148.9376 224.0628
17 1.0704  -1350.2767 -3545151.5491 221.4514
18 1.0805  -1350.2777 -3545154.1827 218.8178
19 1.0905  -1350.2787 -3545156.8492 216.1513
20 1.1005  -1350.2798 -3545159.5571 213.4434
21 1.1105  -1350.2808 -3545162.3116 210.6888
22 1.1206  -1350.2819 -3545165.1170 207.8835
23 1.1306  -1350.2830 -3545167.9763 205.0242
24 1.1406  -1350.2841 -3545170.8912 202.1093
25 1.1506  -1350.2852 -3545173.8591 199.1414
26 1.1607  -1350.2864 -3545176.8772 196.1232
27 1.1707  -1350.2875 -3545179.9400 193.0604
28 1.1807  -1350.2887 -3545183.0476 189.9529
29 1.1907  -1350.2899 -3545186.1954 186.8051
30 1.2008  -1350.2911 -3545189.3786 183.6219
31 1.2108  -1350.2924 -3545192.5925 180.4080
32 1.2208  -1350.2936 -3545195.8317 177.1688
33 1.2308  -1350.2948 -3545199.0911 173.9093
34 1.2409  -1350.2961 -3545202.3661 170.6344
35 1.2509  -1350.2973 -3545205.6511 167.3494
36 1.2609  -1350.2986 -3545208.9413 164.0591
37 1.2709  -1350.2998 -3545212.2320 160.7684
38 1.2810  -1350.3011 -3545215.5185 157.4820
39 1.2910  -1350.3023 -3545218.7967 154.2038
40 1.3010  -1350.3036 -3545222.0620 150.9384
41 1.3110  -1350.3048 -3545225.3111 147.6893
42 1.3211  -1350.3061 -3545228.5402 144.4602
43 1.3311  -1350.3073 -3545231.7461 141.2544
44 1.3411  -1350.3085 -3545234.9257 138.0748
45 1.3511  -1350.3097 -3545238.0763 134.9242
46 1.3612  -1350.3109 -3545241.1955 131.8050
47 1.3712  -1350.3120 -3545244.2811 128.7194
48 1.3812  -1350.3132 -3545247.3310 125.6694
49 1.3912  -1350.3144 -3545250.3440 122.6565
50 1.4013  -1350.3155 -3545253.3196 119.6809
51 1.4113  -1350.3166 -3545256.2531 116.7473
52 1.4213  -1350.3177 -3545259.1466 113.8539
53 1.4313  -1350.3188 -3545261.9973 111.0031
54 1.4414  -1350.3199 -3545264.8032 108.1972
55 1.4514  -1350.3209 -3545267.5667 105.4338
56 1.4614  -1350.3220 -3545270.2814 102.7191
57 1.4714  -1350.3230 -3545272.9567 100.0437
58 1.4815  -1350.3240 -3545275.5848 97.4157
59 1.4915  -1350.3250 -3545278.1675 94.8329
60 1.5015  -1350.3259 -3545280.7035 92.2970
61 1.5115  -1350.3269 -3545283.1964 89.8040
62 1.5216  -1350.3278 -3545285.6426 87.3578
63 1.5316  -1350.3287 -3545288.0402 84.9603
64 1.5416  -1350.3296 -3545290.3975 82.6030
65 1.5516  -1350.3305 -3545292.7086 80.2919
66 1.5617  -1350.3314 -3545294.9737 78.0268
67 1.5717  -1350.3322 -3545297.1957 75.8048
68 1.5817  -1350.3330 -3545299.3717 73.6288
69 1.5917  -1350.3338 -3545301.5047 71.4958
70 1.6018  -1350.3346 -3545303.5946 69.4059
71 1.6118  -1350.3354 -3545305.6391 67.3614
72 1.6218  -1350.3362 -3545307.6430 65.3574
73 1.6318  -1350.3369 -3545309.6058 63.3947
74 1.6419  -1350.3377 -3545311.5246 61.4759
75 1.6519  -1350.3384 -3545313.4035 59.5970
76 1.6619  -1350.3391 -3545315.2378 57.7626
77 1.6719  -1350.3398 -3545317.0359 55.9646
78 1.6820  -1350.3404 -3545318.7923 54.2081
79 1.6920  -1350.3411 -3545320.5074 52.4931
80 1.7020  -1350.3417 -3545322.1867 50.8138
81 1.7120  -1350.3423 -3545323.8239 49.1766
82 1.7221  -1350.3430 -3545325.4190 47.5815
83 1.7321  -1350.3436 -3545326.9912 46.0092
84 1.7421  -1350.3441 -3545328.5177 44.4827
85 1.7521  -1350.3447 -3545330.0027 42.9978
86 1.7622  -1350.3453 -3545331.4624 41.5381
87 1.7722  -1350.3458 -3545332.8849 40.1156
88 1.7822  -1350.3463 -3545334.2666 38.7339
89 1.7922  -1350.3468 -3545335.6174 37.3831
90 1.8023  -1350.3473 -3545336.9323 36.0682
91 1.8123  -1350.3478 -3545338.2162 34.7843
92 1.8223  -1350.3483 -3545339.4621 33.5383
93 1.8323  -1350.3488 -3545340.6873 32.3132
94 1.8424  -1350.3492 -3545341.8747 31.1257
95 1.8524  -1350.3497 -3545343.0323 29.9682
96 1.8624  -1350.3501 -3545344.1552 28.8452
97 1.8724  -1350.3505 -3545345.2548 27.7456
98 1.8825  -1350.3509 -3545346.3232 26.6773
99 1.8925  -1350.3513 -3545347.3626 25.6379
100 1.9025  -1350.3517 -3545348.3711 24.6293
101 1.9125  -1350.3521 -3545349.3548 23.6456
102 1.9226  -1350.3524 -3545350.3109 22.6896
103 1.9326  -1350.3528 -3545351.2393 21.7612
104 1.9426  -1350.3531 -3545352.1436 20.8569
105 1.9526  -1350.3535 -3545353.0185 19.9820
106 1.9627  -1350.3538 -3545353.8717 19.1288
107 1.9727  -1350.3541 -3545354.6950 18.3055
108 1.9827  -1350.3544 -3545355.5001 17.5004
109 1.9927  -1350.3547 -3545356.2769 16.7236
110 2.0028  -1350.3550 -3545357.0289 15.9716
111 2.0128  -1350.3553 -3545357.7619 15.2385
112 2.0228  -1350.3555 -3545358.4715 14.5290
113 2.0328  -1350.3558 -3545359.1588 13.8417
114 2.0429  -1350.3561 -3545359.8229 13.1775
115 2.0529  -1350.3563 -3545360.4622 12.5382
116 2.0629  -1350.3565 -3545361.0876 11.9128
117 2.0729  -1350.3568 -3545361.6894 11.3111
118 2.0830  -1350.3570 -3545362.2708 10.7296
119 2.0930  -1350.3572 -3545362.8324 10.1681
120 2.1030  -1350.3574 -3545363.3733 9.6272
121 2.1130  -1350.3576 -3545363.8953 9.1052
122 2.1231  -1350.3578 -3545364.3929 8.6075
123 2.1331  -1350.3580 -3545364.8849 8.1156
124 2.1431  -1350.3582 -3545365.3523 7.6482
125 2.1531  -1350.3583 -3545365.8008 7.1997
126 2.1632  -1350.3585 -3545366.2347 6.7658
127 2.1732  -1350.3587 -3545366.6480 6.3525
128 2.1832  -1350.3588 -3545367.0451 5.9554
129 2.1932  -1350.3590 -3545367.4271 5.5734
130 2.2033  -1350.3591 -3545367.7926 5.2078
131 2.2133  -1350.3592 -3545368.1388 4.8617
132 2.2233  -1350.3594 -3545368.4768 4.5236
133 2.2333  -1350.3595 -3545368.7966 4.2039
134 2.2434  -1350.3596 -3545369.1079 3.8926
135 2.2534  -1350.3597 -3545369.3980 3.6025
136 2.2634  -1350.3598 -3545369.6737 3.3268
137 2.2734  -1350.3599 -3545369.9333 3.0672
138 2.2835  -1350.3600 -3545370.1802 2.8203
139 2.2935  -1350.3601 -3545370.4128 2.5877
140 2.3035  -1350.3602 -3545370.6342 2.3663
141 2.3135  -1350.3603 -3545370.8390 2.1614
142 2.3236  -1350.3603 -3545371.0296 1.9709
143 2.3336  -1350.3604 -3545371.2133 1.7872
144 2.3436  -1350.3605 -3545371.3854 1.6151
145 2.3536  -1350.3605 -3545371.5398 1.4607
146 2.3637  -1350.3606 -3545371.6885 1.3120
147 2.3737  -1350.3606 -3545371.8198 1.1807
148 2.3837  -1350.3607 -3545371.9439 1.0566
149 2.3937  -1350.3607 -3545372.0605 0.9400
150 2.4038  -1350.3608 -3545372.1589 0.8416
151 2.4138  -1350.3608 -3545372.2564 0.7441
152 2.4238  -1350.3608 -3545372.3491 0.6514
153 2.4338  -1350.3609 -3545372.4189 0.5816
154 2.4439  -1350.3609 -3545372.5022 0.4983
155 2.4539  -1350.3609 -3545372.5705 0.4300
156 2.4639  -1350.3609 -3545372.6304 0.3701
157 2.4739  -1350.3609 -3545372.6704 0.3301
158 2.4840  -1350.3610 -3545372.7415 0.2589
159 2.4940  -1350.3610 -3545372.7897 0.2107
160 2.5040  -1350.3610 -3545372.8272 0.1733
161 2.5140  -1350.3610 -3545372.8770 0.1235
162 2.5241  -1350.3610 -3545372.9079 0.0925
163 2.5341  -1350.3611 -3545372.9392 0.0613
164 2.5441  -1350.3611 -3545372.9460 0.0545
165 2.5541  -1350.3611 -3545372.9826 0.0179
166 2.5642  -1350.3611 -3545372.9934 0.0071
167 2.5742  -1350.3611 -3545372.9971 0.0034
168 2.5842  -1350.3611 -3545373.0005 0.0000
169 2.5942  -1350.3611 -3545372.9964 0.0040
170 2.6043  -1350.3611 -3545372.9929 0.0076
171 2.6143  -1350.3611 -3545372.9860 0.0145
172 2.6243  -1350.3611 -3545372.9729 0.0275
173 2.6343  -1350.3611 -3545372.9544 0.0461
174 2.6444  -1350.3610 -3545372.9332 0.0673
175 2.6544  -1350.3610 -3545372.9151 0.0854
176 2.6644  -1350.3610 -3545372.8917 0.1087
177 2.6744  -1350.3610 -3545372.8637 0.1368
178 2.6845  -1350.3610 -3545372.8361 0.1644
179 2.6945  -1350.3610 -3545372.8046 0.1959
180 2.7045  -1350.3610 -3545372.7719 0.2285
181 2.7145  -1350.3610 -3545372.7361 0.2644
182 2.7246  -1350.3610 -3545372.7005 0.3000
183 2.7346  -1350.3609 -3545372.6622 0.3383
184 2.7446  -1350.3609 -3545372.6227 0.3778
185 2.7546  -1350.3609 -3545372.5800 0.4205
186 2.7647  -1350.3609 -3545372.5395 0.4610
187 2.7747  -1350.3609 -3545372.4963 0.5041
188 2.7847  -1350.3609 -3545372.4510 0.5495
189 2.7947  -1350.3608 -3545372.4061 0.5944
190 2.8048  -1350.3608 -3545372.3610 0.6395
191 2.8148  -1350.3608 -3545372.3147 0.6857
192 2.8248  -1350.3608 -3545372.2680 0.7325
193 2.8348  -1350.3608 -3545372.2218 0.7787
194 2.8449  -1350.3608 -3545372.1741 0.8264
195 2.8549  -1350.3607 -3545372.1292 0.8713
196 2.8649  -1350.3607 -3545372.0831 0.9174
197 2.8749  -1350.3607 -3545372.0354 0.9651
198 2.8850  -1350.3607 -3545371.9926 1.0078
199 2.8950  -1350.3607 -3545371.9494 1.0511
200 2.9050  -1350.3607 -3545371.9067 1.0938
201 2.9150  -1350.3606 -3545371.8649 1.1356
202 2.9251  -1350.3606 -3545371.8262 1.1743
203 2.9351  -1350.3606 -3545371.7881 1.2123
204 2.9451  -1350.3606 -3545371.7498 1.2507
205 2.9551  -1350.3606 -3545371.7180 1.2824
206 2.9652  -1350.3606 -3545371.6827 1.3178
207 2.9752  -1350.3606 -3545371.6561 1.3444
208 2.9852  -1350.3605 -3545371.6192 1.3813
209 2.9952  -1350.3605 -3545371.6016 1.3989
210 3.0053  -1350.3605 -3545371.5779 1.4225
211 3.0153  -1350.3605 -3545371.5460 1.4545
212 3.0253  -1350.3605 -3545371.5338 1.4667
213 3.0353  -1350.3605 -3545371.5155 1.4850
214 3.0454  -1350.3605 -3545371.4992 1.5013
215 3.0554  -1350.3605 -3545371.4833 1.5172
216 3.0654  -1350.3605 -3545371.4697 1.5308
217 3.0754  -1350.3605 -3545371.4516 1.5489
218 3.0855  -1350.3605 -3545371.4406 1.5598
219 3.0955  -1350.3605 -3545371.4305 1.5700
220 3.1055  -1350.3605 -3545371.4197 1.5808
221 3.1155  -1350.3605 -3545371.4129 1.5876
222 3.1256  -1350.3605 -3545371.4048 1.5957
223 3.1356  -1350.3605 -3545371.3994 1.6011
224 3.1456  -1350.3605 -3545371.3917 1.6087
225 3.1556  -1350.3605 -3545371.3873 1.6132
226 3.1657  -1350.3605 -3545371.3830 1.6175
227 3.1757  -1350.3605 -3545371.3806 1.6199
228 3.1857  -1350.3605 -3545371.3747 1.6258
229 3.1957  -1350.3605 -3545371.3731 1.6274
230 3.2058  -1350.3605 -3545371.3688 1.6317
231 3.2158  -1350.3605 -3545371.3689 1.6316
232 3.2258  -1350.3605 -3545371.3659 1.6346
233 3.2358  -1350.3605 -3545371.3629 1.6376
234 3.2459  -1350.3605 -3545371.3629 1.6376
235 3.2559  -1350.3604 -3545371.3593 1.6411
236 3.2659  -1350.3604 -3545371.3597 1.6408
237 3.2759  -1350.3604 -3545371.3581 1.6424
238 3.2860  -1350.3604 -3545371.3570 1.6435
239 3.2960  -1350.3604 -3545371.3554 1.6451
240 3.3060  -1350.3604 -3545371.3537 1.6468
241 3.3160  -1350.3604 -3545371.3521 1.6483
242 3.3261  -1350.3604 -3545371.3490 1.6515
243 3.3361  -1350.3604 -3545371.3467 1.6538
244 3.3461  -1350.3604 -3545371.3434 1.6570
245 3.3561  -1350.3604 -3545371.3393 1.6611
246 3.3662  -1350.3604 -3545371.3350 1.6655
247 3.3762  -1350.3604 -3545371.3298 1.6707
248 3.3862  -1350.3604 -3545371.3254 1.6751
249 3.3962  -1350.3604 -3545371.3176 1.6829
250 3.4063  -1350.3604 -3545371.3100 1.6905
251 3.4163  -1350.3604 -3545371.3019 1.6985
252 3.4263  -1350.3604 -3545371.2922 1.7083
253 3.4363  -1350.3604 -3545371.2820 1.7185
254 3.4464  -1350.3604 -3545371.2700 1.7305
255 3.4564  -1350.3604 -3545371.2576 1.7428
256 3.4664  -1350.3604 -3545371.2434 1.7571
257 3.4764  -1350.3604 -3545371.2288 1.7716
258 3.4865  -1350.3604 -3545371.2124 1.7881
259 3.4965  -1350.3604 -3545371.1958 1.8046
260 3.5065  -1350.3604 -3545371.1775 1.8230
261 3.5165  -1350.3604 -3545371.1593 1.8412
262 3.5266  -1350.3604 -3545371.1395 1.8610
263 3.5366  -1350.3604 -3545371.1201 1.8804
264 3.5466  -1350.3604 -3545371.0998 1.9007
265 3.5566  -1350.3603 -3545371.0793 1.9211
266 3.5667  -1350.3603 -3545371.0589 1.9416
267 3.5767  -1350.3603 -3545371.0369 1.9636
268 3.5867  -1350.3603 -3545371.0143 1.9862
269 3.5967  -1350.3603 -3545370.9914 2.0091
