0 0.9000  -1506.9077 -3956386.2151 139.8662
1 0.9100  -1506.9101 -3956392.5692 133.5120
2 0.9201  -1506.9123 -3956398.3032 127.7780
3 0.9301  -1506.9143 -3956403.4718 122.6095
4 0.9401  -1506.9161 -3956408.1274 117.9538
5 0.9501  -1506.9177 -3956412.3198 113.7615
6 0.9602  -1506.9191 -3956416.0960 109.9852
7 0.9702  -1506.9204 -3956419.5007 106.5805
8 0.9802  -1506.9216 -3956422.5769 103.5043
9 0.9902  -1506.9226 -3956425.3638 100.7174
10 1.0003  -1506.9236 -3956427.8980 98.1833
11 1.0103  -1506.9245 -3956430.2115 95.8697
12 1.0203  -1506.9253 -3956432.3365 93.7448
13 1.0303  -1506.9260 -3956434.3032 91.7781
14 1.0404  -1506.9267 -3956436.1399 89.9414
15 1.0504  -1506.9274 -3956437.8726 88.2087
16 1.0604  -1506.9280 -3956439.5231 86.5581
17 1.0704  -1506.9286 -3956441.1126 84.9687
18 1.0805  -1506.9292 -3956442.6590 83.4222
19 1.0905  -1506.9298 -3956444.1776 81.9037
20 1.1005  -1506.9304 -3956445.6817 80.3996
21 1.1105  -1506.9309 -3956447.1793 78.9020
22 1.1206  -1506.9315 -3956448.6812 77.4000
23 1.1306  -1506.9321 -3956450.1876 75.8937
24 1.1406  -1506.9327 -3956451.7077 74.3736
25 1.1506  -1506.9332 -3956453.2389 72.8424
26 1.1607  -1506.9338 -3956454.7861 71.2952
27 1.1707  -1506.9344 -3956456.3473 69.7339
28 1.1807  -1506.9350 -3956457.9223 68.1590
29 1.1907  -1506.9356 -3956459.5109 66.5703
30 1.2008  -1506.9362 -3956461.1084 64.9728
31 1.2108  -1506.9369 -3956462.7111 63.3701
32 1.2208  -1506.9375 -3956464.3188 61.7624
33 1.2308  -1506.9381 -3956465.9292 60.1520
34 1.2409  -1506.9387 -3956467.5377 58.5435
35 1.2509  -1506.9393 -3956469.1417 56.9396
36 1.2609  -1506.9399 -3956470.7397 55.3415
37 1.2709  -1506.9405 -3956472.3239 53.7573
38 1.2810  -1506.9411 -3956473.9092 52.1721
39 1.2910  -1506.9417 -3956475.4681 50.6132
40 1.3010  -1506.9423 -3956477.0110 49.0703
41 1.3110  -1506.9429 -3956478.5371 47.5442
42 1.3211  -1506.9435 -3956480.0455 46.0357
43 1.3311  -1506.9440 -3956481.5622 44.5191
44 1.3411  -1506.9446 -3956483.0248 43.0564
45 1.3511  -1506.9451 -3956484.4720 41.6093
46 1.3612  -1506.9457 -3956485.8934 40.1878
47 1.3712  -1506.9462 -3956487.2852 38.7961
48 1.3812  -1506.9467 -3956488.6479 37.4334
49 1.3912  -1506.9472 -3956489.9818 36.0995
50 1.4013  -1506.9477 -3956491.2838 34.7975
51 1.4113  -1506.9482 -3956492.5570 33.5242
52 1.4213  -1506.9487 -3956493.7952 32.2861
53 1.4313  -1506.9492 -3956495.0011 31.0801
54 1.4414  -1506.9496 -3956496.1707 29.9105
55 1.4514  -1506.9500 -3956497.3095 28.7717
56 1.4614  -1506.9505 -3956498.4203 27.6610
57 1.4714  -1506.9509 -3956499.4882 26.5931
58 1.4815  -1506.9513 -3956500.5303 25.5509
