0 0.9000  -1440.3038 -3781517.6843 40.0042
1 0.9100  -1440.3054 -3781521.8537 35.8348
2 0.9201  -1440.3067 -3781525.3444 32.3441
3 0.9301  -1440.3078 -3781528.1254 29.5632
4 0.9401  -1440.3086 -3781530.2720 27.4165
5 0.9501  -1440.3092 -3781531.8430 25.8456
6 0.9602  -1440.3096 -3781532.8530 24.8355
7 0.9702  -1440.3098 -3781533.3566 24.3319
8 0.9802  -1440.3098 -3781533.4019 24.2867
9 0.9902  -1440.3097 -3781532.9979 24.6906
10 1.0003  -1440.3094 -3781532.2059 25.4826
11 1.0103  -1440.3089 -3781531.0318 26.6568
12 1.0203  -1440.3083 -3781529.5151 28.1734
13 1.0303  -1440.3076 -3781527.7044 29.9841
14 1.0404  -1440.3068 -3781525.6046 32.0839
15 1.0504  -1440.3059 -3781523.2420 34.4465
16 1.0604  -1440.3049 -3781520.6427 37.0459
17 1.0704  -1440.3039 -3781517.8317 39.8568
18 1.0805  -1440.3027 -3781514.8324 42.8561
19 1.0905  -1440.3015 -3781511.6685 46.0201
20 1.1005  -1440.3003 -3781508.3551 49.3334
21 1.1105  -1440.2990 -3781504.9295 52.7591
22 1.1206  -1440.2976 -3781501.3957 56.2929
23 1.1306  -1440.2962 -3781497.7706 59.9180
24 1.1406  -1440.2948 -3781494.0940 63.5945
25 1.1506  -1440.2934 -3781490.3645 67.3240
26 1.1607  -1440.2920 -3781486.6058 71.0827
27 1.1707  -1440.2905 -3781482.8361 74.8524
28 1.1807  -1440.2891 -3781479.0732 78.6153
29 1.1907  -1440.2877 -3781475.3329 82.3556
30 1.2008  -1440.2863 -3781471.6342 86.0544
31 1.2108  -1440.2849 -3781467.9823 89.7062
32 1.2208  -1440.2835 -3781464.4276 93.2609
33 1.2308  -1440.2822 -3781460.9557 96.7329
34 1.2409  -1440.2809 -3781457.5981 100.0904
35 1.2509  -1440.2797 -3781454.3766 103.3119
36 1.2609  -1440.2785 -3781451.3117 106.3769
37 1.2709  -1440.2774 -3781448.4214 109.2671
38 1.2810  -1440.2764 -3781445.7143 111.9742
39 1.2910  -1440.2755 -3781443.1968 114.4918
40 1.3010  -1440.2746 -3781440.8672 116.8213
41 1.3110  -1440.2737 -3781438.7197 118.9689
42 1.3211  -1440.2730 -3781436.7448 120.9437
43 1.3311  -1440.2723 -3781434.9325 122.7561
44 1.3411  -1440.2717 -3781433.2700 124.4186
45 1.3511  -1440.2711 -3781431.7433 125.9452
46 1.3612  -1440.2706 -3781430.3488 127.3397
47 1.3712  -1440.2701 -3781429.0722 128.6163
48 1.3812  -1440.2696 -3781427.9061 129.7824
49 1.3912  -1440.2692 -3781426.8425 130.8460
50 1.4013  -1440.2688 -3781425.8635 131.8250
51 1.4113  -1440.2685 -3781424.9807 132.7078
52 1.4213  -1440.2682 -3781424.1713 133.5173
53 1.4313  -1440.2679 -3781423.4343 134.2542
54 1.4414  -1440.2677 -3781422.7641 134.9244
55 1.4514  -1440.2674 -3781422.1557 135.5328
56 1.4614  -1440.2672 -3781421.6044 136.0842
57 1.4714  -1440.2670 -3781421.1061 136.5824
58 1.4815  -1440.2669 -3781420.6571 137.0314
59 1.4915  -1440.2667 -3781420.2540 137.4345
60 1.5015  -1440.2666 -3781419.8927 137.7959
61 1.5115  -1440.2665 -3781419.5719 138.1167
62 1.5216  -1440.2663 -3781419.2900 138.3985
63 1.5316  -1440.2663 -3781419.0402 138.6484
64 1.5416  -1440.2662 -3781418.8244 138.8641
65 1.5516  -1440.2661 -3781418.6320 139.0565
66 1.5617  -1440.2660 -3781418.4727 139.2158
67 1.5717  -1440.2660 -3781418.3428 139.3457
68 1.5817  -1440.2659 -3781418.1946 139.4939
69 1.5917  -1440.2659 -3781418.1416 139.5469
70 1.6018  -1440.2659 -3781418.0723 139.6163
71 1.6118  -1440.2659 -3781418.0210 139.6675
72 1.6218  -1440.2658 -3781417.9869 139.7016
73 1.6318  -1440.2658 -3781417.9690 139.7196
