0 0.9000  -913.9916 -2399684.8772 4781.2588
1 0.9100  -914.0877 -2399937.2688 4528.8671
2 0.9201  -914.1821 -2400185.1959 4280.9401
3 0.9301  -914.2680 -2400410.5288 4055.6071
4 0.9401  -914.3494 -2400624.3304 3841.8056
5 0.9501  -914.4266 -2400827.1461 3638.9898
6 0.9602  -914.4999 -2401019.5064 3446.6296
7 0.9702  -914.5694 -2401201.9269 3264.2091
8 0.9802  -914.6353 -2401374.9028 3091.2332
9 0.9902  -914.6977 -2401538.9072 2927.2288
10 1.0003  -914.7570 -2401694.3919 2771.7441
11 1.0103  -914.8131 -2401841.7877 2624.3483
12 1.0203  -914.8663 -2401981.5059 2484.6301
13 1.0303  -914.9168 -2402113.9365 2352.1994
14 1.0404  -914.9646 -2402239.4524 2226.6835
15 1.0504  -915.0099 -2402358.4069 2107.7291
16 1.0604  -915.0528 -2402471.1350 1995.0009
17 1.0704  -915.0935 -2402577.9542 1888.1818
18 1.0805  -915.1320 -2402679.1643 1786.9717
19 1.0905  -915.1686 -2402775.0533 1691.0827
20 1.1005  -915.2032 -2402865.8913 1600.2447
21 1.1105  -915.2359 -2402951.9372 1514.1987
22 1.1206  -915.2670 -2403033.4377 1432.6983
23 1.1306  -915.2964 -2403110.6273 1355.5087
24 1.1406  -915.3242 -2403183.7292 1282.4068
25 1.1506  -915.3506 -2403252.9551 1213.1809
26 1.1607  -915.3755 -2403318.5055 1147.6304
27 1.1707  -915.3992 -2403380.5704 1085.5656
28 1.1807  -915.4216 -2403439.3299 1026.8061
29 1.1907  -915.4428 -2403494.9548 971.1811
30 1.2008  -915.4628 -2403547.6071 918.5288
31 1.2108  -915.4818 -2403597.4402 868.6957
32 1.2208  -915.4998 -2403644.5997 821.5363
33 1.2308  -915.5167 -2403689.2230 776.9130
34 1.2409  -915.5328 -2403731.4414 734.6946
35 1.2509  -915.5480 -2403771.3786 694.7574
36 1.2609  -915.5624 -2403809.1535 656.9825
37 1.2709  -915.5760 -2403844.8789 621.2571
38 1.2810  -915.5889 -2403878.6622 587.4738
39 1.2910  -915.6011 -2403910.6056 555.5303
40 1.3010  -915.6126 -2403940.8071 525.3289
41 1.3110  -915.6234 -2403969.3596 496.7764
42 1.3211  -915.6339 -2403996.6985 469.4375
43 1.3311  -915.6436 -2404022.2786 443.8573
44 1.3411  -915.6528 -2404046.4559 419.6801
45 1.3511  -915.6615 -2404069.3056 396.8303
46 1.3612  -915.6697 -2404090.8995 375.2365
47 1.3712  -915.6775 -2404111.3049 354.8310
48 1.3812  -915.6849 -2404130.5862 335.5498
49 1.3912  -915.6918 -2404148.8037 317.3323
50 1.4013  -915.6983 -2404166.0144 300.1215
51 1.4113  -915.7045 -2404182.2727 283.8633
52 1.4213  -915.7104 -2404197.6299 268.5061
53 1.4313  -915.7159 -2404212.1352 254.0008
54 1.4414  -915.7211 -2404225.8353 240.3006
55 1.4514  -915.7261 -2404238.7748 227.3612
56 1.4614  -915.7307 -2404250.9958 215.1401
57 1.4714  -915.7351 -2404262.5388 203.5972
58 1.4815  -915.7393 -2404273.4421 192.6939
59 1.4915  -915.7432 -2404283.7421 182.3938
60 1.5015  -915.7469 -2404293.4737 172.6623
61 1.5115  -915.7504 -2404302.6699 163.4661
62 1.5216  -915.7537 -2404311.3620 154.7740
63 1.5316  -915.7568 -2404319.5797 146.5563
64 1.5416  -915.7598 -2404327.3511 138.7848
65 1.5516  -915.7626 -2404334.7028 131.4332
66 1.5617  -915.7652 -2404341.6594 124.4766
67 1.5717  -915.7678 -2404348.2438 117.8922
68 1.5817  -915.7701 -2404354.4771 111.6588
69 1.5917  -915.7724 -2404360.3792 105.7567
70 1.6018  -915.7745 -2404365.9689 100.1671
71 1.6118  -915.7765 -2404371.2641 94.8719
72 1.6218  -915.7784 -2404376.2822 89.8537
73 1.6318  -915.7802 -2404381.0394 85.0965
74 1.6419  -915.7820 -2404385.5518 80.5842
75 1.6519  -915.7836 -2404389.8340 76.3020
76 1.6619  -915.7851 -2404393.9003 72.2356
77 1.6719  -915.7866 -2404397.7643 68.3716
78 1.6820  -915.7880 -2404401.4395 64.6965
79 1.6920  -915.7893 -2404404.9335 61.2025
80 1.7020  -915.7906 -2404408.2577 57.8783
81 1.7120  -915.7918 -2404411.4214 54.7146
82 1.7221  -915.7930 -2404414.4410 51.6950
83 1.7321  -915.7941 -2404417.3192 48.8167
84 1.7421  -915.7951 -2404420.0675 46.0685
85 1.7521  -915.7961 -2404422.6945 43.4414
86 1.7622  -915.7971 -2404425.2015 40.9344
87 1.7722  -915.7980 -2404427.5981 38.5379
88 1.7822  -915.7989 -2404429.8905 36.2455
89 1.7922  -915.7997 -2404432.0910 34.0450
90 1.8023  -915.8005 -2404434.1955 31.9405
91 1.8123  -915.8013 -2404436.2114 29.9245
92 1.8223  -915.8020 -2404438.1348 28.0011
93 1.8323  -915.8027 -2404439.9723 26.1637
94 1.8424  -915.8034 -2404441.7263 24.4097
95 1.8524  -915.8040 -2404443.4073 22.7287
96 1.8624  -915.8046 -2404445.0610 21.0750
97 1.8724  -915.8052 -2404446.5903 19.5457
98 1.8825  -915.8058 -2404448.0466 18.0894
99 1.8925  -915.8063 -2404449.4322 16.7038
100 1.9025  -915.8068 -2404450.7496 15.3864
101 1.9125  -915.8073 -2404452.0009 14.1350
102 1.9226  -915.8077 -2404453.1884 12.9476
103 1.9326  -915.8082 -2404454.3139 11.8221
104 1.9426  -915.8086 -2404455.3793 10.7567
105 1.9526  -915.8089 -2404456.3863 9.7497
106 1.9627  -915.8093 -2404457.3364 8.7995
107 1.9727  -915.8096 -2404458.2311 7.9049
108 1.9827  -915.8100 -2404459.0717 7.0643
109 1.9927  -915.8103 -2404459.8593 6.2767
110 2.0028  -915.8105 -2404460.5951 5.5409
111 2.0128  -915.8108 -2404461.2802 4.8558
112 2.0228  -915.8111 -2404461.9156 4.2204
113 2.0328  -915.8113 -2404462.5022 3.6337
114 2.0429  -915.8115 -2404463.0411 3.0948
115 2.0529  -915.8117 -2404463.5333 2.6027
116 2.0629  -915.8118 -2404463.9795 2.1565
117 2.0729  -915.8120 -2404464.3808 1.7551
118 2.0830  -915.8121 -2404464.7382 1.3978
119 2.0930  -915.8122 -2404465.0525 1.0835
120 2.1030  -915.8123 -2404465.3248 0.8112
121 2.1130  -915.8124 -2404465.5560 0.5800
122 2.1231  -915.8125 -2404465.7471 0.3889
123 2.1331  -915.8126 -2404465.8991 0.2369
124 2.1431  -915.8126 -2404466.0130 0.1230
125 2.1531  -915.8126 -2404466.0898 0.0462
126 2.1632  -915.8127 -2404466.1305 0.0055
127 2.1732  -915.8127 -2404466.1360 0.0000
128 2.1832  -915.8126 -2404466.1072 0.0287
129 2.1932  -915.8126 -2404466.0453 0.0907
130 2.2033  -915.8126 -2404465.9509 0.1851
131 2.2133  -915.8125 -2404465.8251 0.3109
132 2.2233  -915.8125 -2404465.6680 0.4680
133 2.2333  -915.8124 -2404465.4827 0.6533
134 2.2434  -915.8123 -2404465.2671 0.8689
135 2.2534  -915.8122 -2404465.0248 1.1111
136 2.2634  -915.8121 -2404464.7518 1.3842
137 2.2734  -915.8120 -2404464.4573 1.6786
138 2.2835  -915.8119 -2404464.1318 2.0041
139 2.2935  -915.8118 -2404463.7874 2.3486
140 2.3035  -915.8116 -2404463.4128 2.7232
141 2.3135  -915.8115 -2404463.0202 3.1158
142 2.3236  -915.8113 -2404462.5993 3.5366
143 2.3336  -915.8111 -2404462.1581 3.9779
144 2.3436  -915.8110 -2404461.6955 4.4405
145 2.3536  -915.8108 -2404461.2124 4.9235
146 2.3637  -915.8106 -2404460.7096 5.4264
147 2.3737  -915.8104 -2404460.1875 5.9485
148 2.3837  -915.8102 -2404459.6468 6.4892
149 2.3937  -915.8100 -2404459.0882 7.0477
150 2.4038  -915.8098 -2404458.5125 7.6235
151 2.4138  -915.8095 -2404457.9203 8.2157
152 2.4238  -915.8093 -2404457.3125 8.8235
153 2.4338  -915.8091 -2404456.6897 9.4463
154 2.4439  -915.8088 -2404456.0527 10.0833
155 2.4539  -915.8086 -2404455.4022 10.7337
156 2.4639  -915.8083 -2404454.7391 11.3968
157 2.4739  -915.8081 -2404454.0641 12.0719
158 2.4840  -915.8078 -2404453.3779 12.7581
159 2.4940  -915.8075 -2404452.6863 13.4496
160 2.5040  -915.8073 -2404451.9784 14.1576
161 2.5140  -915.8070 -2404451.2638 14.8721
162 2.5241  -915.8067 -2404450.5396 15.5964
163 2.5341  -915.8064 -2404449.8074 16.3286
164 2.5441  -915.8062 -2404449.0678 17.0682
165 2.5541  -915.8059 -2404448.3213 17.8146
166 2.5642  -915.8056 -2404447.5684 18.5675
167 2.5742  -915.8053 -2404446.8097 19.3263
168 2.5842  -915.8050 -2404446.0454 20.0905
169 2.5942  -915.8047 -2404445.2761 20.8598
170 2.6043  -915.8044 -2404444.5022 21.6338
171 2.6143  -915.8041 -2404443.7239 22.4120
172 2.6243  -915.8038 -2404442.9418 23.1942
173 2.6343  -915.8035 -2404442.1560 23.9799
174 2.6444  -915.8032 -2404441.3671 24.7689
175 2.6544  -915.8029 -2404440.5752 25.5608
176 2.6644  -915.8026 -2404439.7806 26.3553
177 2.6744  -915.8023 -2404438.9838 27.1522
178 2.6845  -915.8020 -2404438.1849 27.9510
179 2.6945  -915.8017 -2404437.3844 28.7515
