0 0.9000  -1350.0408 -3544532.0341 827.4893
1 0.9100  -1350.0646 -3544594.6801 764.8433
2 0.9201  -1350.0866 -3544652.3146 707.2088
3 0.9301  -1350.1067 -3544705.2477 654.2757
4 0.9401  -1350.1253 -3544754.0763 605.4471
5 0.9501  -1350.1423 -3544798.6849 560.8384
6 0.9602  -1350.1579 -3544839.4731 520.0503
7 0.9702  -1350.1721 -3544876.8996 482.6238
8 0.9802  -1350.1851 -3544910.9635 448.5599
9 0.9902  -1350.1969 -3544941.9833 417.5401
10 1.0003  -1350.2076 -3544970.1796 389.3437
11 1.0103  -1350.2174 -3544995.7622 363.7612
12 1.0203  -1350.2262 -3545018.9323 340.5911
13 1.0303  -1350.2342 -3545039.8806 319.6428
14 1.0404  -1350.2414 -3545058.7926 300.7308
15 1.0504  -1350.2479 -3545075.8571 283.6663
16 1.0604  -1350.2560 -3545097.0520 262.4714
17 1.0704  -1350.2647 -3545120.0936 239.4297
18 1.0805  -1350.2701 -3545134.2254 225.2980
19 1.0905  -1350.2750 -3545146.9156 212.6078
20 1.1005  -1350.2793 -3545158.2421 201.2813
21 1.1105  -1350.2831 -3545168.2765 191.2469
22 1.1206  -1350.2865 -3545177.0851 182.4382
23 1.1306  -1350.2894 -3545184.7347 174.7887
24 1.1406  -1350.2919 -3545191.2890 168.2343
25 1.1506  -1350.2940 -3545196.8105 162.7129
26 1.1607  -1350.2957 -3545201.3584 158.1650
27 1.1707  -1350.2971 -3545204.9942 154.5292
28 1.1807  -1350.2981 -3545207.7717 151.7517
29 1.1907  -1350.2989 -3545209.7482 149.7752
30 1.2008  -1350.2994 -3545210.9734 148.5500
31 1.2108  -1350.2996 -3545211.5006 148.0228
32 1.2208  -1350.2995 -3545211.3765 148.1469
33 1.2308  -1350.2992 -3545210.6480 148.8754
34 1.2409  -1350.2987 -3545209.3582 150.1652
35 1.2509  -1350.2981 -3545207.5530 151.9704
36 1.2609  -1350.2972 -3545205.2678 154.2556
37 1.2709  -1350.2961 -3545202.5398 156.9836
38 1.2810  -1350.2950 -3545199.4069 160.1165
39 1.2910  -1350.2936 -3545195.8974 163.6260
40 1.3010  -1350.2922 -3545192.0438 167.4796
41 1.3110  -1350.2906 -3545187.8725 171.6509
42 1.3211  -1350.2889 -3545183.4166 176.1068
43 1.3311  -1350.2871 -3545178.6921 180.8313
44 1.3411  -1350.2852 -3545173.7304 185.7930
45 1.3511  -1350.2832 -3545168.5473 190.9761
46 1.3612  -1350.2812 -3545163.1670 196.3564
47 1.3712  -1350.2790 -3545157.6153 201.9080
48 1.3812  -1350.2769 -3545151.9013 207.6221
49 1.3912  -1350.2746 -3545146.0459 213.4775
50 1.4013  -1350.2724 -3545140.0750 219.4484
51 1.4113  -1350.2700 -3545133.9913 225.5321
52 1.4213  -1350.2677 -3545127.8134 231.7100
53 1.4313  -1350.2653 -3545121.5677 237.9557
54 1.4414  -1350.2629 -3545115.2488 244.2746
55 1.4514  -1350.2605 -3545108.8820 250.6414
56 1.4614  -1350.2580 -3545102.4694 257.0540
57 1.4714  -1350.2556 -3545096.0365 263.4869
58 1.4815  -1350.2531 -3545089.5757 269.9476
59 1.4915  -1350.2507 -3545083.2920 276.2314
60 1.5015  -1350.2483 -3545076.9346 282.5888
