0 0.9000  -969.3602 -2545055.2635 1531.7058
1 0.9100  -969.3930 -2545141.2685 1445.7008
2 0.9201  -969.4237 -2545221.8214 1365.1478
3 0.9301  -969.4524 -2545297.2596 1289.7096
4 0.9401  -969.4793 -2545367.8952 1219.0741
5 0.9501  -969.5045 -2545434.0199 1152.9494
6 0.9602  -969.5281 -2545495.9016 1091.0677
7 0.9702  -969.5501 -2545553.8123 1033.1570
8 0.9802  -969.5707 -2545607.9764 978.9928
9 0.9902  -969.5900 -2545658.6256 928.3436
10 1.0003  -969.6081 -2545705.9730 880.9963
11 1.0103  -969.6249 -2545750.2194 836.7498
12 1.0203  -969.6407 -2545791.5546 795.4146
13 1.0303  -969.6554 -2545830.1571 756.8121
14 1.0404  -969.6691 -2545866.1959 720.7733
15 1.0504  -969.6819 -2545899.8310 687.1383
16 1.0604  -969.6939 -2545931.2139 655.7553
17 1.0704  -969.7050 -2545960.4878 626.4815
18 1.0805  -969.7154 -2545987.7872 599.1820
19 1.0905  -969.7251 -2546013.2382 573.7310
20 1.1005  -969.7341 -2546036.9583 550.0110
21 1.1105  -969.7425 -2546059.0573 527.9120
22 1.1206  -969.7504 -2546079.6380 507.3313
23 1.1306  -969.7577 -2546098.7970 488.1722
24 1.1406  -969.7645 -2546116.6249 470.3444
25 1.1506  -969.7708 -2546133.2074 453.7619
26 1.1607  -969.7767 -2546148.6251 438.3441
27 1.1707  -969.7821 -2546162.9546 424.0147
28 1.1807  -969.7872 -2546176.2689 410.7003
29 1.1907  -969.7919 -2546188.6367 398.3325
30 1.2008  -969.7963 -2546200.1235 386.8457
31 1.2108  -969.8003 -2546210.7910 376.1783
32 1.2208  -969.8041 -2546220.6969 366.2723
33 1.2308  -969.8076 -2546229.8955 357.0738
34 1.2409  -969.8109 -2546238.4372 348.5320
35 1.2509  -969.8139 -2546246.3696 340.5997
36 1.2609  -969.8167 -2546253.7369 333.2324
37 1.2709  -969.8193 -2546260.5810 326.3882
38 1.2810  -969.8217 -2546266.9414 320.0279
39 1.2910  -969.8240 -2546272.8555 314.1138
40 1.3010  -969.8261 -2546278.3592 308.6100
41 1.3110  -969.8280 -2546283.4869 303.4823
42 1.3211  -969.8298 -2546288.2712 298.6981
43 1.3311  -969.8316 -2546292.7429 294.2264
44 1.3411  -969.8331 -2546296.9307 290.0386
45 1.3511  -969.8346 -2546300.8612 286.1080
46 1.3612  -969.8361 -2546304.5600 282.4093
47 1.3712  -969.8374 -2546308.0437 278.9256
48 1.3812  -969.8386 -2546311.3634 275.6058
49 1.3912  -969.8398 -2546314.5215 272.4477
50 1.4013  -969.8410 -2546317.5548 269.4145
51 1.4113  -969.8421 -2546320.4918 266.4774
52 1.4213  -969.8432 -2546323.3637 263.6056
53 1.4313  -969.8443 -2546326.2024 260.7669
54 1.4414  -969.8454 -2546329.0372 257.9321
55 1.4514  -969.8465 -2546331.8831 255.0862
56 1.4614  -969.8476 -2546334.7460 252.2233
57 1.4714  -969.8487 -2546337.6315 249.3377
58 1.4815  -969.8498 -2546340.5493 246.4200
59 1.4915  -969.8509 -2546343.5117 243.4576
60 1.5015  -969.8520 -2546346.5292 240.4401
61 1.5115  -969.8532 -2546349.6026 237.3666
62 1.5216  -969.8544 -2546352.7207 234.2485
63 1.5316  -969.8556 -2546355.8687 231.1005
64 1.5416  -969.8568 -2546359.0345 227.9348
65 1.5516  -969.8580 -2546362.2093 224.7599
66 1.5617  -969.8592 -2546365.3869 221.5824
67 1.5717  -969.8604 -2546368.5624 218.4069
68 1.5817  -969.8616 -2546371.7310 215.2383
69 1.5917  -969.8628 -2546374.8916 212.0777
70 1.6018  -969.8640 -2546378.0389 208.9303
71 1.6118  -969.8652 -2546381.1719 205.7974
72 1.6218  -969.8664 -2546384.2877 202.6816
73 1.6318  -969.8676 -2546387.3833 199.5859
74 1.6419  -969.8688 -2546390.4576 196.5117
75 1.6519  -969.8699 -2546393.5078 193.4615
76 1.6619  -969.8711 -2546396.5313 190.4379
77 1.6719  -969.8722 -2546399.5279 187.4413
78 1.6820  -969.8734 -2546402.4931 184.4761
79 1.6920  -969.8745 -2546405.4271 181.5422
80 1.7020  -969.8756 -2546408.3270 178.6422
81 1.7120  -969.8767 -2546411.1906 175.7786
82 1.7221  -969.8777 -2546414.0166 172.9527
83 1.7321  -969.8788 -2546416.8036 170.1657
84 1.7421  -969.8799 -2546419.5504 167.4188
85 1.7521  -969.8809 -2546422.2562 164.7131
86 1.7622  -969.8819 -2546424.9202 162.0490
87 1.7722  -969.8829 -2546427.5420 159.4272
88 1.7822  -969.8839 -2546430.1219 156.8473
89 1.7922  -969.8848 -2546432.6616 154.3076
90 1.8023  -969.8858 -2546435.1672 151.8020
91 1.8123  -969.8867 -2546437.6446 149.3247
92 1.8223  -969.8971 -2546464.7839 122.1854
93 1.8323  -969.8987 -2546469.1049 117.8643
94 1.8424  -969.9003 -2546473.2974 113.6718
95 1.8524  -969.9019 -2546477.3707 109.5986
96 1.8624  -969.9034 -2546481.3206 105.6486
