0 0.9000  -544.9057 -1430649.9554 1348.7358
1 0.9100  -544.9391 -1430737.6560 1261.0351
2 0.9201  -544.9706 -1430820.2021 1178.4890
3 0.9301  -545.0001 -1430897.7141 1100.9770
4 0.9401  -545.0279 -1430970.8318 1027.8593
5 0.9501  -545.0541 -1431039.4652 959.2259
6 0.9602  -545.0786 -1431103.8825 894.8086
7 0.9702  -545.1017 -1431164.5091 834.1821
8 0.9802  -545.1234 -1431221.3952 777.2960
9 0.9902  -545.1437 -1431274.6814 724.0098
10 1.0003  -545.1628 -1431324.8196 673.8715
11 1.0103  -545.1806 -1431371.7817 626.9094
12 1.0203  -545.1974 -1431415.6879 583.0032
13 1.0303  -545.2131 -1431456.9306 541.7605
14 1.0404  -545.2277 -1431495.3838 503.3073
15 1.0504  -545.2415 -1431531.4893 467.2019
16 1.0604  -545.2543 -1431565.1054 433.5857
17 1.0704  -545.2663 -1431596.5753 402.1159
18 1.0805  -545.2774 -1431625.8566 372.8345
19 1.0905  -545.2878 -1431653.1946 345.4965
20 1.1005  -545.2975 -1431678.6118 320.0794
21 1.1105  -545.3065 -1431702.2550 296.4362
22 1.1206  -545.3149 -1431724.1761 274.5151
23 1.1306  -545.3226 -1431744.5784 254.1127
24 1.1406  -545.3298 -1431763.4383 235.2528
25 1.1506  -545.3365 -1431780.8834 217.8078
26 1.1607  -545.3426 -1431796.9935 201.6977
27 1.1707  -545.3483 -1431811.8671 186.8241
28 1.1807  -545.3535 -1431825.5295 173.1616
29 1.1907  -545.3582 -1431838.0490 160.6422
30 1.2008  -545.3626 -1431849.5730 149.1181
31 1.2108  -545.3666 -1431860.0667 138.6244
32 1.2208  -545.3703 -1431869.6236 129.0676
33 1.2308  -545.3736 -1431878.3268 120.3644
34 1.2409  -545.3766 -1431886.1753 112.5159
35 1.2509  -545.3793 -1431893.2657 105.4254
36 1.2609  -545.3817 -1431899.6056 99.0855
37 1.2709  -545.3838 -1431905.2765 93.4147
38 1.2810  -545.3857 -1431910.2778 88.4133
