0 4.9000  -948.9167 -2491380.6787 222.7623
1 4.8900  -948.9167 -2491380.6720 222.7690
2 4.8799  -948.9166 -2491380.6589 222.7821
3 4.8699  -948.9166 -2491380.6522 222.7888
4 4.8599  -948.9166 -2491380.6424 222.7985
5 4.8499  -948.9166 -2491380.6295 222.8115
6 4.8398  -948.9166 -2491380.6165 222.8245
7 4.8298  -948.9166 -2491380.6025 222.8384
8 4.8198  -948.9166 -2491380.5906 222.8504
9 4.8098  -948.9166 -2491380.5758 222.8652
10 4.7997  -948.9166 -2491380.5578 222.8832
11 4.7897  -948.9166 -2491380.5432 222.8978
12 4.7797  -948.9166 -2491380.5228 222.9182
13 4.7697  -948.9166 -2491380.5058 222.9351
14 4.7596  -948.9166 -2491380.4895 222.9514
15 4.7496  -948.9166 -2491380.4688 222.9722
16 4.7396  -948.9166 -2491380.4459 222.9950
17 4.7296  -948.9166 -2491380.4456 222.9954
18 4.7195  -948.9166 -2491380.4238 223.0171
19 4.7095  -948.9165 -2491380.3988 223.0422
20 4.6995  -948.9165 -2491380.3785 223.0625
21 4.6895  -948.9165 -2491380.3509 223.0901
22 4.6794  -948.9165 -2491380.3268 223.1142
23 4.6694  -948.9165 -2491380.3006 223.1404
24 4.6594  -948.9165 -2491380.2729 223.1681
25 4.6494  -948.9165 -2491380.2435 223.1975
26 4.6393  -948.9165 -2491380.2148 223.2262
27 4.6293  -948.9165 -2491380.1819 223.2591
28 4.6193  -948.9165 -2491380.1534 223.2876
29 4.6093  -948.9164 -2491380.1215 223.3194
30 4.5992  -948.9164 -2491380.0889 223.3521
31 4.5892  -948.9164 -2491380.0538 223.3872
32 4.5792  -948.9164 -2491380.0200 223.4209
33 4.5692  -948.9164 -2491379.9830 223.4579
34 4.5591  -948.9164 -2491379.9475 223.4935
35 4.5491  -948.9164 -2491379.9098 223.5312
36 4.5391  -948.9163 -2491379.8710 223.5700
37 4.5291  -948.9163 -2491379.8321 223.6088
38 4.5190  -948.9163 -2491379.7920 223.6489
39 4.5090  -948.9163 -2491379.7508 223.6901
40 4.4990  -948.9163 -2491379.7095 223.7315
41 4.4890  -948.9163 -2491379.6664 223.7746
42 4.4789  -948.9163 -2491379.6236 223.8173
43 4.4689  -948.9162 -2491379.5796 223.8614
44 4.4589  -948.9162 -2491379.5339 223.9071
45 4.4489  -948.9162 -2491379.4872 223.9538
46 4.4388  -948.9162 -2491379.4411 223.9999
47 4.4288  -948.9162 -2491379.3933 224.0476
48 4.4188  -948.9161 -2491379.3444 224.0966
49 4.4088  -948.9161 -2491379.2951 224.1459
50 4.3987  -948.9161 -2491379.2447 224.1963
51 4.3887  -948.9161 -2491379.1929 224.2481
52 4.3787  -948.9161 -2491379.1419 224.2991
53 4.3687  -948.9160 -2491379.0887 224.3523
54 4.3586  -948.9160 -2491379.0362 224.4048
55 4.3486  -948.9160 -2491378.9822 224.4588
56 4.3386  -948.9160 -2491378.9273 224.5136
57 4.3286  -948.9160 -2491378.8742 224.5668
58 4.3185  -948.9159 -2491378.8183 224.6227
59 4.3085  -948.9159 -2491378.7632 224.6778
60 4.2985  -948.9159 -2491378.7035 224.7375
61 4.2885  -948.9159 -2491378.6478 224.7932
62 4.2784  -948.9159 -2491378.5879 224.8530
63 4.2684  -948.9158 -2491378.5243 224.9167
64 4.2584  -948.9158 -2491378.4668 224.9742
65 4.2484  -948.9158 -2491378.4115 225.0295
66 4.2383  -948.9158 -2491378.3517 225.0893
67 4.2283  -948.9157 -2491378.2917 225.1493
68 4.2183  -948.9157 -2491378.2285 225.2125
69 4.2083  -948.9157 -2491378.1645 225.2764
70 4.1982  -948.9157 -2491378.0990 225.3419
71 4.1882  -948.9156 -2491378.0352 225.4057
72 4.1782  -948.9156 -2491377.9666 225.4744
73 4.1682  -948.9156 -2491377.8981 225.5429
74 4.1581  -948.9156 -2491377.8337 225.6073
75 4.1481  -948.9155 -2491377.7662 225.6747
76 4.1381  -948.9155 -2491377.6997 225.7413
77 4.1281  -948.9155 -2491377.6632 225.7777
78 4.1180  -948.9155 -2491377.5989 225.8421
79 4.1080  -948.9155 -2491377.5353 225.9057
80 4.0980  -948.9154 -2491377.4694 225.9716
81 4.0880  -948.9154 -2491377.3999 226.0411
82 4.0779  -948.9154 -2491377.3348 226.1061
83 4.0679  -948.9154 -2491377.2667 226.1742
84 4.0579  -948.9153 -2491377.1961 226.2449
85 4.0479  -948.9153 -2491377.1279 226.3131
86 4.0378  -948.9153 -2491377.0559 226.3851
87 4.0278  -948.9153 -2491376.9915 226.4495
88 4.0178  -948.9152 -2491376.9192 226.5218
89 4.0078  -948.9152 -2491376.8547 226.5863
90 3.9977  -948.9152 -2491376.7825 226.6585
91 3.9877  -948.9152 -2491376.7514 226.6896
92 3.9777  -948.9151 -2491376.6827 226.7582
93 3.9677  -948.9151 -2491376.6159 226.8251
94 3.9576  -948.9151 -2491376.5461 226.8949
95 3.9476  -948.9151 -2491376.4780 226.9630
96 3.9376  -948.9150 -2491376.4151 227.0259
97 3.9276  -948.9150 -2491376.3465 227.0945
98 3.9175  -948.9150 -2491376.2772 227.1638
99 3.9075  -948.9150 -2491376.2067 227.2342
100 3.8975  -948.9149 -2491376.1384 227.3026
101 3.8875  -948.9149 -2491376.0707 227.3703
102 3.8774  -948.9149 -2491375.9990 227.4419
103 3.8674  -948.9148 -2491375.9281 227.5128
104 3.8574  -948.9148 -2491375.8565 227.5845
105 3.8474  -948.9148 -2491375.7835 227.6575
106 3.8373  -948.9148 -2491375.7126 227.7284
107 3.8273  -948.9147 -2491375.6402 227.8008
108 3.8173  -948.9147 -2491375.5672 227.8738
109 3.8073  -948.9147 -2491375.4929 227.9481
110 3.7972  -948.9147 -2491375.4175 228.0235
111 3.7872  -948.9146 -2491375.3420 228.0990
112 3.7772  -948.9146 -2491375.2676 228.1734
113 3.7672  -948.9146 -2491375.1937 228.2473
114 3.7571  -948.9145 -2491375.1142 228.3268
115 3.7471  -948.9145 -2491375.0396 228.4014
116 3.7371  -948.9145 -2491374.9629 228.4781
117 3.7271  -948.9144 -2491374.8824 228.5586
118 3.7170  -948.9144 -2491374.8024 228.6386
119 3.7070  -948.9144 -2491374.7221 228.7189
120 3.6970  -948.9144 -2491374.6418 228.7991
121 3.6870  -948.9143 -2491374.5612 228.8798
122 3.6769  -948.9143 -2491374.4833 228.9577
123 3.6669  -948.9143 -2491374.3994 229.0416
124 3.6569  -948.9142 -2491374.3172 229.1238
125 3.6469  -948.9142 -2491374.2303 229.2107
126 3.6368  -948.9142 -2491374.1437 229.2973
127 3.6268  -948.9141 -2491374.0562 229.3848
128 3.6168  -948.9141 -2491373.9682 229.4728
129 3.6068  -948.9141 -2491373.8778 229.5632
130 3.5967  -948.9140 -2491373.8067 229.6343
131 3.5867  -948.9140 -2491373.7193 229.7217
132 3.5767  -948.9140 -2491373.6312 229.8098
