0 4.9000  -1368.4169 -3592778.4931 388.1966
1 4.8900  -1368.4169 -3592778.4966 388.1931
2 4.8799  -1368.4169 -3592778.5000 388.1897
3 4.8699  -1368.4169 -3592778.5033 388.1864
4 4.8599  -1368.4169 -3592778.5057 388.1840
5 4.8499  -1368.4169 -3592778.5099 388.1799
6 4.8398  -1368.4169 -3592778.5168 388.1729
7 4.8298  -1368.4169 -3592778.5201 388.1696
8 4.8198  -1368.4169 -3592778.5251 388.1646
9 4.8098  -1368.4169 -3592778.5309 388.1588
10 4.7997  -1368.4169 -3592778.5364 388.1533
11 4.7897  -1368.4169 -3592778.5384 388.1513
12 4.7797  -1368.4169 -3592778.5501 388.1397
13 4.7697  -1368.4169 -3592778.5564 388.1334
14 4.7596  -1368.4169 -3592778.5611 388.1286
15 4.7496  -1368.4169 -3592778.5676 388.1221
16 4.7396  -1368.4169 -3592778.5791 388.1107
17 4.7296  -1368.4169 -3592778.5861 388.1036
18 4.7195  -1368.4169 -3592778.5945 388.0952
19 4.7095  -1368.4169 -3592778.5995 388.0902
20 4.6995  -1368.4169 -3592778.6138 388.0759
21 4.6895  -1368.4169 -3592778.6233 388.0664
22 4.6794  -1368.4169 -3592778.6300 388.0597
23 4.6694  -1368.4169 -3592778.6437 388.0461
24 4.6594  -1368.4169 -3592778.6526 388.0371
25 4.6494  -1368.4169 -3592778.6636 388.0261
26 4.6393  -1368.4169 -3592778.6783 388.0114
27 4.6293  -1368.4169 -3592778.6888 388.0009
28 4.6193  -1368.4169 -3592778.7013 387.9884
29 4.6093  -1368.4170 -3592778.7148 387.9749
30 4.5992  -1368.4170 -3592778.7280 387.9617
31 4.5892  -1368.4170 -3592778.7368 387.9529
32 4.5792  -1368.4170 -3592778.7575 387.9322
33 4.5692  -1368.4170 -3592778.7716 387.9181
34 4.5591  -1368.4170 -3592778.7852 387.9046
35 4.5491  -1368.4170 -3592778.8010 387.8887
36 4.5391  -1368.4170 -3592778.8201 387.8696
37 4.5291  -1368.4170 -3592778.8360 387.8537
38 4.5190  -1368.4170 -3592778.8539 387.8358
39 4.5090  -1368.4170 -3592778.8730 387.8167
40 4.4990  -1368.4170 -3592778.8920 387.7977
