0 4.9000  -948.9046 -2491348.8986 227.0512
1 4.8900  -948.9046 -2491348.9270 227.0228
2 4.8799  -948.9046 -2491348.9547 226.9950
3 4.8699  -948.9046 -2491348.9821 226.9676
4 4.8599  -948.9046 -2491349.0201 226.9297
5 4.8499  -948.9046 -2491349.0478 226.9019
6 4.8398  -948.9046 -2491349.0777 226.8720
7 4.8298  -948.9046 -2491349.1064 226.8433
8 4.8198  -948.9046 -2491349.1512 226.7986
9 4.8098  -948.9047 -2491349.1842 226.7655
10 4.7997  -948.9047 -2491349.2161 226.7336
11 4.7897  -948.9047 -2491349.2494 226.7003
12 4.7797  -948.9047 -2491349.2871 226.6626
13 4.7697  -948.9047 -2491349.3205 226.6292
14 4.7596  -948.9047 -2491349.3539 226.5958
15 4.7496  -948.9047 -2491349.3911 226.5586
16 4.7396  -948.9048 -2491349.4264 226.5233
17 4.7296  -948.9048 -2491349.4590 226.4908
18 4.7195  -948.9048 -2491349.4926 226.4571
19 4.7095  -948.9048 -2491349.5277 226.4220
20 4.6995  -948.9048 -2491349.5627 226.3870
21 4.6895  -948.9048 -2491349.5972 226.3525
22 4.6794  -948.9048 -2491349.6277 226.3221
23 4.6694  -948.9048 -2491349.6593 226.2904
24 4.6594  -948.9049 -2491349.6973 226.2524
25 4.6494  -948.9049 -2491349.7306 226.2191
26 4.6393  -948.9049 -2491349.7615 226.1882
27 4.6293  -948.9049 -2491349.7918 226.1579
28 4.6193  -948.9049 -2491349.8267 226.1230
29 4.6093  -948.9049 -2491349.8594 226.0904
30 4.5992  -948.9049 -2491349.8909 226.0589
31 4.5892  -948.9049 -2491349.9246 226.0252
32 4.5792  -948.9050 -2491349.9552 225.9946
33 4.5692  -948.9050 -2491349.9838 225.9659
34 4.5591  -948.9050 -2491350.0119 225.9378
35 4.5491  -948.9050 -2491350.0456 225.9042
36 4.5391  -948.9050 -2491350.0744 225.8753
37 4.5291  -948.9050 -2491350.1015 225.8482
38 4.5190  -948.9050 -2491350.1285 225.8213
39 4.5090  -948.9050 -2491350.1592 225.7906
40 4.4990  -948.9050 -2491350.1857 225.7640
41 4.4890  -948.9051 -2491350.2118 225.7379
42 4.4789  -948.9051 -2491350.2418 225.7080
43 4.4689  -948.9051 -2491350.2684 225.6814
44 4.4589  -948.9051 -2491350.2937 225.6560
45 4.4489  -948.9051 -2491350.3202 225.6295
46 4.4388  -948.9051 -2491350.3387 225.6111
47 4.4288  -948.9051 -2491350.3677 225.5820
48 4.4188  -948.9051 -2491350.3967 225.5530
49 4.4088  -948.9051 -2491350.4221 225.5277
50 4.3987  -948.9051 -2491350.4445 225.5052
51 4.3887  -948.9051 -2491350.4680 225.4817
52 4.3787  -948.9052 -2491350.4960 225.4537
53 4.3687  -948.9052 -2491350.5206 225.4291
54 4.3586  -948.9052 -2491350.5456 225.4042
55 4.3486  -948.9052 -2491350.5674 225.3823
56 4.3386  -948.9052 -2491350.5899 225.3598
57 4.3286  -948.9052 -2491350.6196 225.3302
58 4.3185  -948.9052 -2491350.6410 225.3087
59 4.3085  -948.9052 -2491350.6626 225.2871
60 4.2985  -948.9052 -2491350.6910 225.2587
61 4.2885  -948.9052 -2491350.7126 225.2372
62 4.2784  -948.9053 -2491350.7725 225.1772
63 4.2684  -948.9053 -2491350.8034 225.1464
64 4.2584  -948.9053 -2491350.8309 225.1188
65 4.2484  -948.9053 -2491350.8834 225.0663
66 4.2383  -948.9053 -2491350.9173 225.0325
67 4.2283  -948.9053 -2491350.9943 224.9555
68 4.2183  -948.9054 -2491351.0186 224.9312
69 4.2083  -948.9054 -2491351.0390 224.9108
70 4.1982  -948.9054 -2491351.0550 224.8948
71 4.1882  -948.9054 -2491351.0659 224.8838
72 4.1782  -948.9054 -2491351.0755 224.8743
73 4.1682  -948.9054 -2491351.0815 224.8682
74 4.1581  -948.9054 -2491351.0865 224.8633
75 4.1481  -948.9054 -2491351.0842 224.8655
76 4.1381  -948.9054 -2491351.2189 224.7308
77 4.1281  -948.9054 -2491351.2423 224.7074
78 4.1180  -948.9055 -2491351.2613 224.6884
79 4.1080  -948.9055 -2491351.2781 224.6716
80 4.0980  -948.9055 -2491351.2937 224.6561
81 4.0880  -948.9055 -2491351.3070 224.6427
82 4.0779  -948.9055 -2491351.3172 224.6325
83 4.0679  -948.9055 -2491351.4090 224.5407
84 4.0579  -948.9055 -2491351.4314 224.5184
85 4.0479  -948.9055 -2491351.4520 224.4977
86 4.0378  -948.9055 -2491351.4696 224.4802
87 4.0278  -948.9055 -2491351.4875 224.4622
88 4.0178  -948.9055 -2491351.5085 224.4413
89 4.0078  -948.9056 -2491351.5249 224.4248
90 3.9977  -948.9056 -2491351.5384 224.4113
91 3.9877  -948.9056 -2491351.5516 224.3981
92 3.9777  -948.9056 -2491351.5754 224.3743
93 3.9677  -948.9056 -2491351.5926 224.3571
94 3.9576  -948.9056 -2491351.6050 224.3448
95 3.9476  -948.9056 -2491351.7095 224.2402
96 3.9376  -948.9056 -2491351.7340 224.2157
97 3.9276  -948.9056 -2491351.7568 224.1929
98 3.9175  -948.9056 -2491351.7829 224.1668
99 3.9075  -948.9057 -2491351.8092 224.1405
100 3.8975  -948.9057 -2491351.8344 224.1154
101 3.8875  -948.9057 -2491351.8575 224.0923
102 3.8774  -948.9057 -2491351.8796 224.0702
103 3.8674  -948.9057 -2491351.9054 224.0443
104 3.8574  -948.9057 -2491351.9300 224.0197
105 3.8474  -948.9057 -2491351.9503 223.9994
106 3.8373  -948.9057 -2491351.9733 223.9764
107 3.8273  -948.9057 -2491352.0012 223.9485
108 3.8173  -948.9057 -2491352.0240 223.9258
109 3.8073  -948.9057 -2491352.0452 223.9046
110 3.7972  -948.9058 -2491352.0693 223.8804
111 3.7872  -948.9058 -2491352.1021 223.8477
112 3.7772  -948.9058 -2491352.1311 223.8186
113 3.7672  -948.9058 -2491352.1543 223.7955
114 3.7571  -948.9058 -2491352.1945 223.7552
115 3.7471  -948.9058 -2491352.2251 223.7247
116 3.7371  -948.9058 -2491352.2494 223.7003
117 3.7271  -948.9058 -2491352.2765 223.6733
118 3.7170  -948.9058 -2491352.3002 223.6495
119 3.7070  -948.9059 -2491352.3946 223.5552
120 3.6970  -948.9059 -2491352.4304 223.5193
121 3.6870  -948.9059 -2491352.4669 223.4828
122 3.6769  -948.9059 -2491352.5069 223.4429
123 3.6669  -948.9059 -2491352.5439 223.4058
124 3.6569  -948.9060 -2491352.5828 223.3670
125 3.6469  -948.9060 -2491352.6244 223.3253
126 3.6368  -948.9060 -2491352.6605 223.2892
127 3.6268  -948.9060 -2491352.7039 223.2459
128 3.6168  -948.9060 -2491352.7481 223.2016
129 3.6068  -948.9060 -2491352.7919 223.1578
130 3.5967  -948.9060 -2491352.8327 223.1170
131 3.5867  -948.9061 -2491352.8702 223.0795
132 3.5767  -948.9061 -2491352.9095 223.0402
133 3.5667  -948.9061 -2491352.9731 222.9767
134 3.5566  -948.9061 -2491353.0221 222.9276
135 3.5466  -948.9061 -2491353.0676 222.8821
136 3.5366  -948.9062 -2491353.1207 222.8291
137 3.5266  -948.9062 -2491353.1689 222.7809
138 3.5165  -948.9062 -2491353.2115 222.7383
139 3.5065  -948.9062 -2491353.2789 222.6708
140 3.4965  -948.9062 -2491353.3276 222.6222
141 3.4865  -948.9063 -2491353.3746 222.5752
142 3.4764  -948.9063 -2491353.4318 222.5179
143 3.4664  -948.9063 -2491353.4816 222.4681
144 3.4564  -948.9063 -2491353.5326 222.4172
145 3.4464  -948.9063 -2491353.5790 222.3707
146 3.4363  -948.9063 -2491353.6170 222.3327
147 3.4263  -948.9064 -2491353.8572 222.0925
148 3.4163  -948.9065 -2491353.9810 221.9688
149 3.4063  -948.9065 -2491354.1063 221.8435
150 3.3962  -948.9066 -2491354.2214 221.7284
151 3.3862  -948.9066 -2491354.3838 221.5660
152 3.3762  -948.9067 -2491354.5007 221.4491
153 3.3662  -948.9067 -2491354.6175 221.3323
154 3.3561  -948.9068 -2491354.7199 221.2298
155 3.3461  -948.9068 -2491354.8242 221.1256
156 3.3361  -948.9069 -2491355.0085 220.9413
157 3.3261  -948.9069 -2491355.1196 220.8301
158 3.3160  -948.9070 -2491355.2304 220.7193
159 3.3060  -948.9070 -2491355.3233 220.6264
160 3.2960  -948.9070 -2491355.4159 220.5338
161 3.2860  -948.9071 -2491355.5219 220.4278
162 3.2759  -948.9071 -2491355.6062 220.3435
163 3.2659  -948.9071 -2491355.6751 220.2747
164 3.2559  -948.9072 -2491355.7467 220.2030
165 3.2459  -948.9072 -2491355.8103 220.1394
166 3.2358  -948.9072 -2491355.9776 219.9721
167 3.2258  -948.9073 -2491356.0390 219.9107
168 3.2158  -948.9073 -2491356.0998 219.8500
169 3.2058  -948.9073 -2491356.1472 219.8026
170 3.1957  -948.9073 -2491356.1865 219.7632
171 3.1857  -948.9073 -2491356.2270 219.7228
172 3.1757  -948.9074 -2491356.2541 219.6956
173 3.1657  -948.9074 -2491356.2670 219.6828
174 3.1556  -948.9074 -2491356.2771 219.6727
175 3.1456  -948.9074 -2491356.3040 219.6458
176 3.1356  -948.9074 -2491356.2968 219.6529
177 3.1256  -948.9074 -2491356.2830 219.6668
178 3.1155  -948.9074 -2491356.2583 219.6915
179 3.1055  -948.9074 -2491356.2534 219.6964
180 3.0955  -948.9073 -2491356.2091 219.7406
181 3.0855  -948.9073 -2491356.1591 219.7906
182 3.0754  -948.9073 -2491356.0896 219.8601
183 3.0654  -948.9073 -2491356.0524 219.8973
184 3.0554  -948.9072 -2491355.9743 219.9755
185 3.0454  -948.9072 -2491355.8753 220.0744
186 3.0353  -948.9072 -2491355.7711 220.1787
187 3.0253  -948.9071 -2491355.6454 220.3043
188 3.0153  -948.9071 -2491355.5679 220.3818
189 3.0053  -948.9070 -2491355.4348 220.5150
190 2.9952  -948.9070 -2491355.2780 220.6718
191 2.9852  -948.9069 -2491355.1155 220.8343
192 2.9752  -948.9069 -2491355.1023 220.8474
193 2.9652  -948.9068 -2491354.9245 221.0252
194 2.9551  -948.9068 -2491354.7311 221.2186
195 2.9451  -948.9067 -2491354.5342 221.4155
196 2.9351  -948.9066 -2491354.3083 221.6414
197 2.9251  -948.9065 -2491354.0709 221.8788
198 2.9150  -948.9064 -2491353.8174 222.1323
199 2.9050  -948.9063 -2491353.5703 222.3794
200 2.8950  -948.9062 -2491353.2867 222.6630
201 2.8850  -948.9061 -2491352.9849 222.9649
202 2.8749  -948.9060 -2491352.6843 223.2654
203 2.8649  -948.9059 -2491352.3519 223.5978
204 2.8549  -948.9057 -2491351.9931 223.9567
205 2.8449  -948.9056 -2491351.6268 224.3229
206 2.8348  -948.9055 -2491351.2681 224.6816
207 2.8248  -948.9053 -2491350.8632 225.0866
208 2.8148  -948.9051 -2491350.4409 225.5088
209 2.8048  -948.9050 -2491350.0192 225.9305
210 2.7947  -948.9048 -2491349.5623 226.3875
211 2.7847  -948.9046 -2491349.0821 226.8676
212 2.7747  -948.9044 -2491348.6079 227.3418
213 2.7647  -948.9042 -2491348.0955 227.8542
214 2.7546  -948.9040 -2491347.5601 228.3896
215 2.7446  -948.9038 -2491347.0382 228.9115
216 2.7346  -948.9036 -2491346.4782 229.4716
217 2.7246  -948.9034 -2491345.9315 230.0182
218 2.7145  -948.9032 -2491345.3514 230.5984
219 2.7045  -948.9030 -2491344.7627 231.1870
220 2.6945  -948.9027 -2491344.1520 231.7978
221 2.6845  -948.9025 -2491343.5948 232.3549
222 2.6744  -948.9023 -2491343.0167 232.9330
223 2.6644  -948.9021 -2491342.4370 233.5127
224 2.6544  -948.9019 -2491341.8735 234.0762
225 2.6444  -948.9017 -2491341.3319 234.6178
226 2.6343  -948.9015 -2491340.8193 235.1304
227 2.6243  -948.9013 -2491340.3462 235.6036
228 2.6143  -948.9011 -2491339.9201 236.0296
229 2.6043  -948.9010 -2491339.5500 236.3997
230 2.5942  -948.9009 -2491339.2550 236.6947
231 2.5842  -948.9008 -2491339.0342 236.9155
232 2.5742  -948.9007 -2491338.8950 237.0547
233 2.5642  -948.9007 -2491338.8456 237.1041
234 2.5541  -948.9007 -2491338.8865 237.0633
235 2.5441  -948.9008 -2491339.0126 236.9371
236 2.5341  -948.9009 -2491339.2107 236.7391
237 2.5241  -948.9010 -2491339.4915 236.4583
238 2.5140  -948.9011 -2491339.8216 236.1281
239 2.5040  -948.9012 -2491340.1917 235.7581
240 2.4940  -948.9014 -2491340.5940 235.3557
241 2.4840  -948.9015 -2491341.0030 234.9468
242 2.4739  -948.9017 -2491341.4037 234.5460
243 2.4639  -948.9018 -2491341.7855 234.1642
244 2.4539  -948.9020 -2491342.1322 233.8175
245 2.4439  -948.9021 -2491342.4325 233.5172
246 2.4338  -948.9022 -2491342.6717 233.2780
247 2.4238  -948.9022 -2491342.8405 233.1093
248 2.4138  -948.9023 -2491342.9322 233.0175
249 2.4038  -948.9023 -2491342.9338 233.0159
250 2.3937  -948.9022 -2491342.8416 233.1082
251 2.3837  -948.9022 -2491342.6474 233.3023
252 2.3737  -948.9021 -2491342.3478 233.6019
253 2.3637  -948.9019 -2491341.9358 234.0139
254 2.3536  -948.9017 -2491341.4063 234.5435
255 2.3436  -948.9014 -2491340.7566 235.1932
256 2.3336  -948.9012 -2491339.9818 235.9679
257 2.3236  -948.9008 -2491339.0786 236.8712
258 2.3135  -948.9004 -2491338.0446 237.9051
259 2.3035  -948.9000 -2491336.8755 239.0742
260 2.2935  -948.8995 -2491335.5675 240.3823
261 2.2835  -948.8989 -2491334.1235 241.8262
262 2.2734  -948.8983 -2491332.5361 243.4137
263 2.2634  -948.8977 -2491330.8045 245.1452
264 2.2534  -948.8969 -2491328.9275 247.0222
265 2.2434  -948.8962 -2491326.9051 249.0446
266 2.2333  -948.8953 -2491324.7350 251.2147
267 2.2233  -948.8945 -2491322.4192 253.5305
268 2.2133  -948.8935 -2491319.9563 255.9934
269 2.2033  -948.8925 -2491317.3475 258.6022
270 2.1932  -948.8915 -2491314.5966 261.3531
271 2.1832  -948.8904 -2491311.7054 264.2443
272 2.1732  -948.8892 -2491308.6781 267.2716
273 2.1632  -948.8880 -2491305.5223 270.4274
274 2.1531  -948.8868 -2491302.2474 273.7023
275 2.1431  -948.9910 -2491575.9497 0.0000
276 2.1331  -948.9899 -2491573.0302 2.9196
277 2.1231  -948.9887 -2491569.9416 6.0081
278 2.1130  -948.9875 -2491566.6767 9.2731
279 2.1030  -948.9862 -2491563.2401 12.7096
